,date,format,deck,wins,games
0,2023-06-20,LTR,Mono-White,5,12
1,2023-06-20,LTR,Mono-Blue,2,5
2,2023-06-20,LTR,Mono-Black,34,47
3,2023-06-20,LTR,Mono-Red,10,13
4,2023-06-20,LTR,Mono-Green,0,0
5,2023-06-20,LTR,Mono-White + Splash,11,15
6,2023-06-20,LTR,Mono-Blue + Splash,7,28
7,2023-06-20,LTR,Mono-Black + Splash,55,82
8,2023-06-20,LTR,Mono-Red + Splash,15,22
9,2023-06-20,LTR,Mono-Green + Splash,1,1
10,2023-06-20,LTR,Azorius (WU),334,679
11,2023-06-20,LTR,Dimir (UB),649,1130
12,2023-06-20,LTR,Rakdos (BR),1326,2205
13,2023-06-20,LTR,Gruul (RG),172,309
14,2023-06-20,LTR,Selesnya (GW),382,786
15,2023-06-20,LTR,Orzhov (WB),892,1479
16,2023-06-20,LTR,Golgari (BG),396,689
17,2023-06-20,LTR,Simic (GU),433,867
18,2023-06-20,LTR,Izzet (UR),877,1540
19,2023-06-20,LTR,Boros (RW),903,1522
20,2023-06-20,LTR,Azorius (WU) + Splash,75,161
21,2023-06-20,LTR,Dimir (UB) + Splash,225,409
22,2023-06-20,LTR,Rakdos (BR) + Splash,213,392
23,2023-06-20,LTR,Gruul (RG) + Splash,81,155
24,2023-06-20,LTR,Selesnya (GW) + Splash,256,473
25,2023-06-20,LTR,Orzhov (WB) + Splash,184,329
26,2023-06-20,LTR,Golgari (BG) + Splash,137,273
27,2023-06-20,LTR,Simic (GU) + Splash,174,349
28,2023-06-20,LTR,Izzet (UR) + Splash,284,499
29,2023-06-20,LTR,Boros (RW) + Splash,76,124
30,2023-06-20,LTR,Jeskai (WUR),30,50
31,2023-06-20,LTR,Sultai (UBG),13,37
32,2023-06-20,LTR,Mardu (BRW),58,107
33,2023-06-20,LTR,Temur (RGU),17,30
34,2023-06-20,LTR,Abzan (GWB),106,199
35,2023-06-20,LTR,Esper (WUB),34,72
36,2023-06-20,LTR,Grixis (UBR),120,223
37,2023-06-20,LTR,Jund (BRG),62,114
38,2023-06-20,LTR,Naya (RGW),31,57
39,2023-06-20,LTR,Bant (GWU),30,60
40,2023-06-20,LTR,Jeskai (WUR) + Splash,6,16
41,2023-06-20,LTR,Sultai (UBG) + Splash,1,6
42,2023-06-20,LTR,Mardu (BRW) + Splash,4,17
43,2023-06-20,LTR,Temur (RGU) + Splash,4,12
44,2023-06-20,LTR,Abzan (GWB) + Splash,4,7
45,2023-06-20,LTR,Esper (WUB) + Splash,5,10
46,2023-06-20,LTR,Grixis (UBR) + Splash,10,16
47,2023-06-20,LTR,Jund (BRG) + Splash,15,29
48,2023-06-20,LTR,Naya (RGW) + Splash,22,47
49,2023-06-20,LTR,Bant (GWU) + Splash,3,6
50,2023-06-20,LTR,Four-color,31,60
51,2023-06-20,LTR,Four-color + Splash,11,17
52,2023-06-20,LTR,Five-color,2,5
53,2023-06-21,LTR,Mono-White,8,14
54,2023-06-21,LTR,Mono-Blue,8,14
55,2023-06-21,LTR,Mono-Black,44,74
56,2023-06-21,LTR,Mono-Red,37,55
57,2023-06-21,LTR,Mono-Green,2,8
58,2023-06-21,LTR,Mono-White + Splash,8,14
59,2023-06-21,LTR,Mono-Blue + Splash,31,59
60,2023-06-21,LTR,Mono-Black + Splash,139,222
61,2023-06-21,LTR,Mono-Red + Splash,30,49
62,2023-06-21,LTR,Mono-Green + Splash,17,36
63,2023-06-21,LTR,Azorius (WU),833,1559
64,2023-06-21,LTR,Dimir (UB),1642,2928
65,2023-06-21,LTR,Rakdos (BR),3918,6381
66,2023-06-21,LTR,Gruul (RG),389,738
67,2023-06-21,LTR,Selesnya (GW),1060,2008
68,2023-06-21,LTR,Orzhov (WB),2537,4232
69,2023-06-21,LTR,Golgari (BG),833,1458
70,2023-06-21,LTR,Simic (GU),856,1760
71,2023-06-21,LTR,Izzet (UR),1977,3489
72,2023-06-21,LTR,Boros (RW),2188,3732
73,2023-06-21,LTR,Azorius (WU) + Splash,164,358
74,2023-06-21,LTR,Dimir (UB) + Splash,706,1285
75,2023-06-21,LTR,Rakdos (BR) + Splash,806,1426
76,2023-06-21,LTR,Gruul (RG) + Splash,201,372
77,2023-06-21,LTR,Selesnya (GW) + Splash,532,1060
78,2023-06-21,LTR,Orzhov (WB) + Splash,490,886
79,2023-06-21,LTR,Golgari (BG) + Splash,397,776
80,2023-06-21,LTR,Simic (GU) + Splash,407,860
81,2023-06-21,LTR,Izzet (UR) + Splash,500,935
82,2023-06-21,LTR,Boros (RW) + Splash,186,334
83,2023-06-21,LTR,Jeskai (WUR),36,83
84,2023-06-21,LTR,Sultai (UBG),73,154
85,2023-06-21,LTR,Mardu (BRW),113,199
86,2023-06-21,LTR,Temur (RGU),40,102
87,2023-06-21,LTR,Abzan (GWB),232,453
88,2023-06-21,LTR,Esper (WUB),124,259
89,2023-06-21,LTR,Grixis (UBR),319,634
90,2023-06-21,LTR,Jund (BRG),164,307
91,2023-06-21,LTR,Naya (RGW),113,210
92,2023-06-21,LTR,Bant (GWU),116,219
93,2023-06-21,LTR,Jeskai (WUR) + Splash,2,4
