,date,format,deck,wins,games
0,2023-06-20,LTR,Mono-White,0,1
1,2023-06-20,LTR,Mono-Blue,0,0
2,2023-06-20,LTR,Mono-Black,0,0
3,2023-06-20,LTR,Mono-Red,7,7
4,2023-06-20,LTR,Mono-Green,0,0
5,2023-06-20,LTR,Mono-White + Splash,0,0
6,2023-06-20,LTR,Mono-Blue + Splash,0,0
7,2023-06-20,LTR,Mono-Black + Splash,13,22
8,2023-06-20,LTR,Mono-Red + Splash,0,0
9,2023-06-20,LTR,Mono-Green + Splash,0,0
10,2023-06-20,LTR,Azorius (WU),58,109
11,2023-06-20,LTR,Dimir (UB),148,235
12,2023-06-20,LTR,Rakdos (BR),384,581
13,2023-06-20,LTR,Gruul (RG),31,47
14,2023-06-20,LTR,Selesnya (GW),42,95
15,2023-06-20,LTR,Orzhov (WB),207,322
16,2023-06-20,LTR,Golgari (BG),60,92
17,2023-06-20,LTR,Simic (GU),65,131
18,2023-06-20,LTR,Izzet (UR),194,288
19,2023-06-20,LTR,Boros (RW),232,379
20,2023-06-20,LTR,Azorius (WU) + Splash,17,30
21,2023-06-20,LTR,Dimir (UB) + Splash,53,100
22,2023-06-20,LTR,Rakdos (BR) + Splash,45,95
23,2023-06-20,LTR,Gruul (RG) + Splash,7,12
24,2023-06-20,LTR,Selesnya (GW) + Splash,69,110
25,2023-06-20,LTR,Orzhov (WB) + Splash,48,76
26,2023-06-20,LTR,Golgari (BG) + Splash,24,45
27,2023-06-20,LTR,Simic (GU) + Splash,16,37
28,2023-06-20,LTR,Izzet (UR) + Splash,58,94
29,2023-06-20,LTR,Boros (RW) + Splash,5,10
30,2023-06-20,LTR,Jeskai (WUR),0,0
31,2023-06-20,LTR,Sultai (UBG),5,11
32,2023-06-20,LTR,Mardu (BRW),12,28
33,2023-06-20,LTR,Temur (RGU),1,4
34,2023-06-20,LTR,Abzan (GWB),24,40
35,2023-06-20,LTR,Esper (WUB),0,3
36,2023-06-20,LTR,Grixis (UBR),26,49
37,2023-06-20,LTR,Jund (BRG),5,8
38,2023-06-20,LTR,Naya (RGW),0,0
39,2023-06-20,LTR,Bant (GWU),0,0
40,2023-06-20,LTR,Jeskai (WUR) + Splash,0,0
41,2023-06-20,LTR,Sultai (UBG) + Splash,0,0
42,2023-06-20,LTR,Mardu (BRW) + Splash,0,0
43,2023-06-20,LTR,Temur (RGU) + Splash,3,6
44,2023-06-20,LTR,Abzan (GWB) + Splash,0,0
45,2023-06-20,LTR,Esper (WUB) + Splash,0,0
46,2023-06-20,LTR,Grixis (UBR) + Splash,0,0
47,2023-06-20,LTR,Jund (BRG) + Splash,7,9
48,2023-06-20,LTR,Naya (RGW) + Splash,2,3
49,2023-06-20,LTR,Bant (GWU) + Splash,0,0
50,2023-06-20,LTR,Four-color,3,6
51,2023-06-20,LTR,Four-color + Splash,1,1
52,2023-06-20,LTR,Five-color,0,0
53,2023-06-21,LTR,Mono-White,4,6
54,2023-06-21,LTR,Mono-Blue,3,5
55,2023-06-21,LTR,Mono-Black,2,8
56,2023-06-21,LTR,Mono-Red,13,15
57,2023-06-21,LTR,Mono-Green,2,5
58,2023-06-21,LTR,Mono-White + Splash,0,0
59,2023-06-21,LTR,Mono-Blue + Splash,0,0
60,2023-06-21,LTR,Mono-Black + Splash,36,56
61,2023-06-21,LTR,Mono-Red + Splash,0,2
62,2023-06-21,LTR,Mono-Green + Splash,2,5
63,2023-06-21,LTR,Azorius (WU),140,233
64,2023-06-21,LTR,Dimir (UB),320,532
65,2023-06-21,LTR,Rakdos (BR),919,1353
66,2023-06-21,LTR,Gruul (RG),58,105
67,2023-06-21,LTR,Selesnya (GW),142,241
68,2023-06-21,LTR,Orzhov (WB),633,997
69,2023-06-21,LTR,Golgari (BG),172,260
70,2023-06-21,LTR,Simic (GU),105,208
71,2023-06-21,LTR,Izzet (UR),423,669
72,2023-06-21,LTR,Boros (RW),510,791
73,2023-06-21,LTR,Azorius (WU) + Splash,22,47
74,2023-06-21,LTR,Dimir (UB) + Splash,169,276
75,2023-06-21,LTR,Rakdos (BR) + Splash,188,301
76,2023-06-21,LTR,Gruul (RG) + Splash,25,45
77,2023-06-21,LTR,Selesnya (GW) + Splash,91,159
78,2023-06-21,LTR,Orzhov (WB) + Splash,93,142
79,2023-06-21,LTR,Golgari (BG) + Splash,66,126
80,2023-06-21,LTR,Simic (GU) + Splash,69,125
81,2023-06-21,LTR,Izzet (UR) + Splash,139,248
82,2023-06-21,LTR,Boros (RW) + Splash,13,26
83,2023-06-21,LTR,Jeskai (WUR),2,3
84,2023-06-21,LTR,Sultai (UBG),4,9
85,2023-06-21,LTR,Mardu (BRW),14,18
86,2023-06-21,LTR,Temur (RGU),4,10
87,2023-06-21,LTR,Abzan (GWB),21,41
88,2023-06-21,LTR,Esper (WUB),18,33
89,2023-06-21,LTR,Grixis (UBR),44,87
90,2023-06-21,LTR,Jund (BRG),15,29
91,2023-06-21,LTR,Naya (RGW),11,20
92,2023-06-21,LTR,Bant (GWU),6,10
93,2023-06-21,LTR,Jeskai (WUR) + Splash,0,0
94,2023-06-21,LTR,Sultai (UBG) + Splash,2,5
95,2023-06-21,LTR,Mardu (BRW) + Splash,0,0
96,2023-06-21,LTR,Temur (RGU) + Splash,7,8
97,2023-06-21,LTR,Abzan (GWB) + Splash,8,15
98,2023-06-21,LTR,Esper (WUB) + Splash,0,0
99,2023-06-21,LTR,Grixis (UBR) + Splash,7,9
100,2023-06-21,LTR,Jund (BRG) + Splash,5,11
101,2023-06-21,LTR,Naya (RGW) + Splash,12,19
102,2023-06-21,LTR,Bant (GWU) + Splash,0,0
103,2023-06-21,LTR,Four-color,2,5
104,2023-06-21,LTR,Four-color + Splash,0,0
105,2023-06-21,LTR,Five-color,0,0
106,2023-06-22,LTR,Mono-White,0,0
107,2023-06-22,LTR,Mono-Blue,2,8
108,2023-06-22,LTR,Mono-Black,7,9
109,2023-06-22,LTR,Mono-Red,0,0
110,2023-06-22,LTR,Mono-Green,0,0
111,2023-06-22,LTR,Mono-White + Splash,2,5
112,2023-06-22,LTR,Mono-Blue + Splash,4,9
113,2023-06-22,LTR,Mono-Black + Splash,16,25
114,2023-06-22,LTR,Mono-Red + Splash,7,9
115,2023-06-22,LTR,Mono-Green + Splash,1,4
116,2023-06-22,LTR,Azorius (WU),129,220
117,2023-06-22,LTR,Dimir (UB),258,418
118,2023-06-22,LTR,Rakdos (BR),976,1530
119,2023-06-22,LTR,Gruul (RG),66,101
120,2023-06-22,LTR,Selesnya (GW),75,143
121,2023-06-22,LTR,Orzhov (WB),528,848
122,2023-06-22,LTR,Golgari (BG),134,204
123,2023-06-22,LTR,Simic (GU),58,119
124,2023-06-22,LTR,Izzet (UR),331,532
125,2023-06-22,LTR,Boros (RW),387,633
126,2023-06-22,LTR,Azorius (WU) + Splash,31,51
127,2023-06-22,LTR,Dimir (UB) + Splash,160,266
128,2023-06-22,LTR,Rakdos (BR) + Splash,154,262
129,2023-06-22,LTR,Gruul (RG) + Splash,26,40
130,2023-06-22,LTR,Selesnya (GW) + Splash,51,99
131,2023-06-22,LTR,Orzhov (WB) + Splash,83,151
132,2023-06-22,LTR,Golgari (BG) + Splash,56,97
133,2023-06-22,LTR,Simic (GU) + Splash,72,132
134,2023-06-22,LTR,Izzet (UR) + Splash,79,138
135,2023-06-22,LTR,Boros (RW) + Splash,21,35
136,2023-06-22,LTR,Jeskai (WUR),8,16
137,2023-06-22,LTR,Sultai (UBG),13,25
138,2023-06-22,LTR,Mardu (BRW),31,50
139,2023-06-22,LTR,Temur (RGU),1,4
140,2023-06-22,LTR,Abzan (GWB),28,54
141,2023-06-22,LTR,Esper (WUB),13,25
142,2023-06-22,LTR,Grixis (UBR),77,121
143,2023-06-22,LTR,Jund (BRG),21,40
144,2023-06-22,LTR,Naya (RGW),5,11
145,2023-06-22,LTR,Bant (GWU),12,20
146,2023-06-22,LTR,Jeskai (WUR) + Splash,0,0
147,2023-06-22,LTR,Sultai (UBG) + Splash,0,0
148,2023-06-22,LTR,Mardu (BRW) + Splash,3,6
149,2023-06-22,LTR,Temur (RGU) + Splash,3,6
150,2023-06-22,LTR,Abzan (GWB) + Splash,6,12
151,2023-06-22,LTR,Esper (WUB) + Splash,4,7
152,2023-06-22,LTR,Grixis (UBR) + Splash,0,0
153,2023-06-22,LTR,Jund (BRG) + Splash,0,0
154,2023-06-22,LTR,Naya (RGW) + Splash,1,4
155,2023-06-22,LTR,Bant (GWU) + Splash,0,0
156,2023-06-22,LTR,Four-color,0,0
157,2023-06-22,LTR,Four-color + Splash,0,0
158,2023-06-22,LTR,Five-color,0,0
159,2023-06-23,LTR,Mono-White,0,0
160,2023-06-23,LTR,Mono-Blue,0,0
161,2023-06-23,LTR,Mono-Black,5,11
162,2023-06-23,LTR,Mono-Red,0,0
163,2023-06-23,LTR,Mono-Green,0,0
164,2023-06-23,LTR,Mono-White + Splash,0,0
165,2023-06-23,LTR,Mono-Blue + Splash,0,0
166,2023-06-23,LTR,Mono-Black + Splash,39,59
167,2023-06-23,LTR,Mono-Red + Splash,3,5
168,2023-06-23,LTR,Mono-Green + Splash,0,1
169,2023-06-23,LTR,Azorius (WU),126,207
170,2023-06-23,LTR,Dimir (UB),247,390
171,2023-06-23,LTR,Rakdos (BR),1054,1641
172,2023-06-23,LTR,Gruul (RG),49,95
173,2023-06-23,LTR,Selesnya (GW),73,121
174,2023-06-23,LTR,Orzhov (WB),416,675
175,2023-06-23,LTR,Golgari (BG),88,133
176,2023-06-23,LTR,Simic (GU),60,105
177,2023-06-23,LTR,Izzet (UR),348,570
178,2023-06-23,LTR,Boros (RW),347,582
179,2023-06-23,LTR,Azorius (WU) + Splash,12,25
180,2023-06-23,LTR,Dimir (UB) + Splash,91,173
181,2023-06-23,LTR,Rakdos (BR) + Splash,116,190
182,2023-06-23,LTR,Gruul (RG) + Splash,11,19
183,2023-06-23,LTR,Selesnya (GW) + Splash,52,89
184,2023-06-23,LTR,Orzhov (WB) + Splash,84,142
185,2023-06-23,LTR,Golgari (BG) + Splash,53,84
186,2023-06-23,LTR,Simic (GU) + Splash,20,49
187,2023-06-23,LTR,Izzet (UR) + Splash,95,161
188,2023-06-23,LTR,Boros (RW) + Splash,16,31
189,2023-06-23,LTR,Jeskai (WUR),12,27
190,2023-06-23,LTR,Sultai (UBG),7,22
191,2023-06-23,LTR,Mardu (BRW),24,41
192,2023-06-23,LTR,Temur (RGU),1,4
193,2023-06-23,LTR,Abzan (GWB),22,41
194,2023-06-23,LTR,Esper (WUB),5,14
195,2023-06-23,LTR,Grixis (UBR),39,69
196,2023-06-23,LTR,Jund (BRG),13,17
197,2023-06-23,LTR,Naya (RGW),5,8
198,2023-06-23,LTR,Bant (GWU),7,9
199,2023-06-23,LTR,Jeskai (WUR) + Splash,0,0
200,2023-06-23,LTR,Sultai (UBG) + Splash,0,0
