,date,format,deck,wins,games
0,2023-04-18,MOM,Mono-White,16,32
1,2023-04-18,MOM,Mono-Blue,2,5
2,2023-04-18,MOM,Mono-Black,15,23
3,2023-04-18,MOM,Mono-Red,0,1
4,2023-04-18,MOM,Mono-Green,1,3
5,2023-04-18,MOM,Mono-White + Splash,5,8
6,2023-04-18,MOM,Mono-Blue + Splash,0,0
7,2023-04-18,MOM,Mono-Black + Splash,12,19
8,2023-04-18,MOM,Mono-Red + Splash,1,4
9,2023-04-18,MOM,Mono-Green + Splash,48,74
10,2023-04-18,MOM,Azorius (WU),1122,1939
11,2023-04-18,MOM,Dimir (UB),598,1028
12,2023-04-18,MOM,Rakdos (BR),770,1353
13,2023-04-18,MOM,Gruul (RG),585,1014
14,2023-04-18,MOM,Selesnya (GW),876,1573
15,2023-04-18,MOM,Orzhov (WB),793,1439
16,2023-04-18,MOM,Golgari (BG),541,931
17,2023-04-18,MOM,Simic (GU),326,577
18,2023-04-18,MOM,Izzet (UR),747,1342
19,2023-04-18,MOM,Boros (RW),867,1573
20,2023-04-18,MOM,Azorius (WU) + Splash,239,443
21,2023-04-18,MOM,Dimir (UB) + Splash,269,442
22,2023-04-18,MOM,Rakdos (BR) + Splash,262,473
23,2023-04-18,MOM,Gruul (RG) + Splash,273,518
24,2023-04-18,MOM,Selesnya (GW) + Splash,269,507
25,2023-04-18,MOM,Orzhov (WB) + Splash,267,468
26,2023-04-18,MOM,Golgari (BG) + Splash,400,715
27,2023-04-18,MOM,Simic (GU) + Splash,292,502
28,2023-04-18,MOM,Izzet (UR) + Splash,292,546
29,2023-04-18,MOM,Boros (RW) + Splash,132,249
30,2023-04-18,MOM,Jeskai (WUR),142,256
31,2023-04-18,MOM,Sultai (UBG),209,380
32,2023-04-18,MOM,Mardu (BRW),129,263
33,2023-04-18,MOM,Temur (RGU),76,136
34,2023-04-18,MOM,Abzan (GWB),157,304
35,2023-04-18,MOM,Esper (WUB),119,229
36,2023-04-18,MOM,Grixis (UBR),77,147
37,2023-04-18,MOM,Jund (BRG),82,151
38,2023-04-18,MOM,Naya (RGW),99,201
39,2023-04-18,MOM,Bant (GWU),97,185
40,2023-04-18,MOM,Jeskai (WUR) + Splash,24,46
41,2023-04-18,MOM,Sultai (UBG) + Splash,95,163
42,2023-04-18,MOM,Mardu (BRW) + Splash,3,11
43,2023-04-18,MOM,Temur (RGU) + Splash,54,105
44,2023-04-18,MOM,Abzan (GWB) + Splash,32,59
45,2023-04-18,MOM,Esper (WUB) + Splash,9,18
46,2023-04-18,MOM,Grixis (UBR) + Splash,29,50
47,2023-04-18,MOM,Jund (BRG) + Splash,25,59
48,2023-04-18,MOM,Naya (RGW) + Splash,26,50
49,2023-04-18,MOM,Bant (GWU) + Splash,21,44
50,2023-04-18,MOM,Four-color,29,53
51,2023-04-18,MOM,Four-color + Splash,66,130
52,2023-04-18,MOM,Five-color,12,32
53,2023-04-19,MOM,Mono-White,14,30
54,2023-04-19,MOM,Mono-Blue,3,6
55,2023-04-19,MOM,Mono-Black,9,12
56,2023-04-19,MOM,Mono-Red,4,12
57,2023-04-19,MOM,Mono-Green,47,75
58,2023-04-19,MOM,Mono-White + Splash,19,41
59,2023-04-19,MOM,Mono-Blue + Splash,8,14
60,2023-04-19,MOM,Mono-Black + Splash,19,34
61,2023-04-19,MOM,Mono-Red + Splash,4,13
62,2023-04-19,MOM,Mono-Green + Splash,63,111
63,2023-04-19,MOM,Azorius (WU),2943,4939
64,2023-04-19,MOM,Dimir (UB),1805,3039
65,2023-04-19,MOM,Rakdos (BR),1782,3276
66,2023-04-19,MOM,Gruul (RG),1221,2224
67,2023-04-19,MOM,Selesnya (GW),1960,3513
68,2023-04-19,MOM,Orzhov (WB),1801,3348
69,2023-04-19,MOM,Golgari (BG),1520,2636
70,2023-04-19,MOM,Simic (GU),682,1220
71,2023-04-19,MOM,Izzet (UR),1692,2974
72,2023-04-19,MOM,Boros (RW),1827,3329
73,2023-04-19,MOM,Azorius (WU) + Splash,584,1069
74,2023-04-19,MOM,Dimir (UB) + Splash,683,1199
75,2023-04-19,MOM,Rakdos (BR) + Splash,543,1052
76,2023-04-19,MOM,Gruul (RG) + Splash,680,1329
77,2023-04-19,MOM,Selesnya (GW) + Splash,702,1327
78,2023-04-19,MOM,Orzhov (WB) + Splash,589,1154
79,2023-04-19,MOM,Golgari (BG) + Splash,937,1685
80,2023-04-19,MOM,Simic (GU) + Splash,609,1102
81,2023-04-19,MOM,Izzet (UR) + Splash,653,1139
82,2023-04-19,MOM,Boros (RW) + Splash,217,437
83,2023-04-19,MOM,Jeskai (WUR),321,608
84,2023-04-19,MOM,Sultai (UBG),608,1076
85,2023-04-19,MOM,Mardu (BRW),197,382
86,2023-04-19,MOM,Temur (RGU),272,474
87,2023-04-19,MOM,Abzan (GWB),492,939
88,2023-04-19,MOM,Esper (WUB),354,673
89,2023-04-19,MOM,Grixis (UBR),285,514
90,2023-04-19,MOM,Jund (BRG),202,413
91,2023-04-19,MOM,Naya (RGW),140,301
92,2023-04-19,MOM,Bant (GWU),240,492
93,2023-04-19,MOM,Jeskai (WUR) + Splash,27,48
94,2023-04-19,MOM,Sultai (UBG) + Splash,228,398
95,2023-04-19,MOM,Mardu (BRW) + Splash,10,19
96,2023-04-19,MOM,Temur (RGU) + Splash,155,282
97,2023-04-19,MOM,Abzan (GWB) + Splash,128,225
98,2023-04-19,MOM,Esper (WUB) + Splash,48,93
99,2023-04-19,MOM,Grixis (UBR) + Splash,51,90
100,2023-04-19,MOM,Jund (BRG) + Splash,120,225
101,2023-04-19,MOM,Naya (RGW) + Splash,45,98
102,2023-04-19,MOM,Bant (GWU) + Splash,52,113
103,2023-04-19,MOM,Four-color,94,171
104,2023-04-19,MOM,Four-color + Splash,204,362
105,2023-04-19,MOM,Five-color,49,102
106,2023-04-20,MOM,Mono-White,3,9
107,2023-04-20,MOM,Mono-Blue,0,1
108,2023-04-20,MOM,Mono-Black,23,36
109,2023-04-20,MOM,Mono-Red,24,39
110,2023-04-20,MOM,Mono-Green,43,77
111,2023-04-20,MOM,Mono-White + Splash,12,26
112,2023-04-20,MOM,Mono-Blue + Splash,13,26
113,2023-04-20,MOM,Mono-Black + Splash,31,47
114,2023-04-20,MOM,Mono-Red + Splash,3,6
115,2023-04-20,MOM,Mono-Green + Splash,41,73
116,2023-04-20,MOM,Azorius (WU),2710,4638
117,2023-04-20,MOM,Dimir (UB),2265,3927
118,2023-04-20,MOM,Rakdos (BR),1758,3176
119,2023-04-20,MOM,Gruul (RG),1054,1967
120,2023-04-20,MOM,Selesnya (GW),1709,3075
121,2023-04-20,MOM,Orzhov (WB),1510,2854
122,2023-04-20,MOM,Golgari (BG),1368,2425
123,2023-04-20,MOM,Simic (GU),686,1219
124,2023-04-20,MOM,Izzet (UR),1463,2625
125,2023-04-20,MOM,Boros (RW),1488,2742
126,2023-04-20,MOM,Azorius (WU) + Splash,502,919
127,2023-04-20,MOM,Dimir (UB) + Splash,756,1317
128,2023-04-20,MOM,Rakdos (BR) + Splash,469,867
129,2023-04-20,MOM,Gruul (RG) + Splash,594,1112
130,2023-04-20,MOM,Selesnya (GW) + Splash,551,1020
131,2023-04-20,MOM,Orzhov (WB) + Splash,505,1001
132,2023-04-20,MOM,Golgari (BG) + Splash,1055,1794
133,2023-04-20,MOM,Simic (GU) + Splash,613,1120
134,2023-04-20,MOM,Izzet (UR) + Splash,550,927
135,2023-04-20,MOM,Boros (RW) + Splash,196,378
136,2023-04-20,MOM,Jeskai (WUR),300,566
137,2023-04-20,MOM,Sultai (UBG),790,1376
138,2023-04-20,MOM,Mardu (BRW),189,362
139,2023-04-20,MOM,Temur (RGU),193,372
140,2023-04-20,MOM,Abzan (GWB),490,922
141,2023-04-20,MOM,Esper (WUB),412,745
142,2023-04-20,MOM,Grixis (UBR),254,457
143,2023-04-20,MOM,Jund (BRG),195,396
144,2023-04-20,MOM,Naya (RGW),140,294
145,2023-04-20,MOM,Bant (GWU),131,279
